,object_id,taxonomy,name
11,17,event,Charged
16,88,event,Makes Statement
19,186,event,Moves Country
21,190,event,Release from Jail
23,195,event,Makes Statement
25,199,event,Illness
27,202,event,Makes Statement
30,204,event,File Motion
32,206,event,Jail
34,213,event,Makes Statement
36,218,event,File Motion
39,223,event,Makes Statement
42,225,event,Makes Statement
45,227,event,Makes Statement
47,232,event,Makes Statement
51,268,event,Birth
53,270,event,Attends College
60,283,event,Acquisition
67,290,event,Writes Article
69,293,event,Writes Article
77,303,event,Charged
134,776,event,Makes Statement
140,795,event,Interview
181,1148,event,Makes Statement
183,1187,event,Makes Statement
186,1223,event,Death
187,1223,event,Suicide
191,1296,event,Founding
196,1333,event,Tribute
199,1356,event,Makes Statement
201,1388,event,Makes Statement
203,1390,event,Makes Statement
205,1392,event,Police Raid
207,1394,event,Apology
211,1398,event,Makes Statement
213,1400,event,Makes Statement
216,1402,event,Makes Statement
218,1405,event,Product Release
222,1409,event,Interview
226,1411,event,Makes Statement
229,1413,event,Makes Statement
232,1417,event,Interview
235,1421,event,Makes Statement
237,1424,event,Arrest
240,1426,event,Charged
242,1428,event,Interview
245,1430,event,Interview
247,1432,event,Makes Statement
252,1436,event,Death
255,1445,event,Death
257,1447,event,Police Raid
260,1449,event,Acquisition
262,1451,event,Moves Country
264,1453,event,Makes Statement
266,1455,event,Birth
271,1503,event,Arrest
303,1649,event,Makes Statement
403,1786,event,Birth
415,1840,event,Birth
419,1846,event,Birth
488,1923,event,Birth
685,2362,event,Political Endorsement
688,2365,event,Marriage
691,2369,event,Interview
694,2371,event,Breakup
700,2375,event,Romance
703,2379,event,Birth
735,2521,event,Birth
752,2576,event,Pregnancy
771,2646,event,Makes Statement
780,2679,event,Death
810,2780,event,Death
817,2823,event,Makes Statement
819,2829,event,Skit
821,2834,event,Skit
823,2836,event,Interview
828,2892,event,Fundraising
830,2894,event,Fundraising
835,2926,event,Makes Statement
848,2965,event,Design Change
851,2973,event,Announcement
854,2975,event,Interview
862,3002,event,Makes Statement
865,3010,event,Acquisition
867,3013,event,Fundraising
870,3025,event,Other Awards
872,3030,event,Makes Statement
874,3032,event,Gives Talk
878,3041,event,Marriage
884,3050,event,Acquisition
886,3054,event,Birth
888,3057,event,Home purchase/sale
890,3059,event,Fundraising
893,3063,event,Founding
896,3074,event,Hired
900,3084,event,Founding
909,3123,event,Announcement
912,3127,event,Interview
921,3150,event,Birth
927,3304,dpa_event,wordpress_draft_to_publish
929,3316,event,Product Release
931,3318,event,Birth
933,3322,event,Romance
935,3323,event,Moves Country
937,3332,event,Design Change
939,3336,event,TV Appearance
941,3341,event,Interview
945,3344,event,Acquisition
947,3352,event,Opens Store
949,3373,event,Product Release
953,3388,event,Death
956,3401,event,Product Release
958,3445,event,Marriage
961,3451,event,Birth
964,3457,event,Founding
966,3465,event,Founding
969,3475,event,Acquisition
972,3487,event,Founding
974,3489,event,Founding
979,3502,event,Fundraising
983,3503,event,TV Appearance
985,3518,event,Home purchase/sale
987,3523,event,IPO
990,3527,event,Board Change
994,3531,event,Founding
1002,3573,event,Writes Article
1004,3575,event,Founding
1006,3583,event,Skit
1008,3587,event,Donation
1010,3591,event,Book
1013,3598,event,Book
1016,3603,event,Book
1019,3611,event,Book
1022,3615,event,Marriage
1025,3633,event,Music Performance
1026,3633,event,Skit
1035,3672,event,Birth
1037,3674,event,Graduation
1039,3676,event,Graduation
1042,3680,event,Marriage
1046,3704,event,Founding
1053,3732,event,Founding
1056,3747,event,Announcement
1059,3757,event,Interview
1063,3783,event,Interview
1067,3796,event,Birth
1074,3805,event,Arrest
1077,3807,event,Fundraising
1081,3826,event,Music Performance
1083,3834,event,Writes Article
1085,3838,event,Death
1091,3875,event,Judgement
1094,3885,event,Founding
1099,3889,event,Hire
1118,3906,event,Product Release
1149,3955,event,Trailer
1156,4000,event,Interview
1158,4022,event,Writes Article
1161,4042,event,TV Appearance
1164,4054,event,Makes Statement
1170,4216,event,Design Change
1173,4237,event,Judgement
1175,4242,event,Birth
1178,4252,event,Makes Statement
1182,4294,event,Bankruptcy
1184,4297,event,Acquisition
1187,4301,event,Files Suit
1189,4304,event,Founding
1192,4313,event,Moves Country
1196,4320,event,Hired
1202,4340,event,Files Suit
1205,4346,event,Announcement
1208,4359,event,Divorce
1210,4362,event,Divorce
1214,4390,event,Resignation
1220,4417,event,Announcement
1223,4421,event,Interview
1226,4431,event,Makes Statement
1227,4431,event,Announcement
1229,4434,event,Closure
1233,4449,event,Interview
1235,4451,event,Apology
1236,4451,event,TV Appearance
1238,4459,event,Files Suit
1240,4462,event,Warrant
1245,4504,event,Founding
1249,4515,event,Gives Talk
1253,4532,event,Bankruptcy
1256,4544,event,Judgement
1261,4607,event,Announcement
1267,4653,event,Birth
1269,4659,event,Founding
1274,4680,event,Judgement
1278,4695,event,Death
1291,4771,event,Birth
1293,4773,event,Joins Military
1295,4775,event,Suicide
1297,4787,event,Founding
1300,4791,event,Founding
1306,4931,event,Judgement
1308,4960,event,Birth
1310,4966,event,Moves Country
1312,4968,event,Founding
1314,4970,event,Home purchase/sale
1316,4975,event,Moves Country
1319,4981,event,Fundraising
1321,4983,event,Founding
1324,4991,event,Founding
1328,5005,event,Birth
1330,5011,event,Arrest
1332,5013,event,Files Suit
1334,5021,event,Moves Country
1336,5023,event,Arrest
1346,5160,event,Birth
1349,5180,event,Donation
1354,5211,event,Announcement
1358,5233,event,Death
1359,5233,event,Death Count
1365,5259,event,Announcement
1370,5266,event,Engagement
1375,5282,event,Interview
1382,5332,event,Death
1385,5353,event,Autopsy
1390,5373,event,Settlement
1391,5389,event,Death
1392,5389,event,Death Count
1396,5397,event,Birth
1400,5427,event,Birth
1409,5509,event,Arrest
1411,5514,event,Casting
1414,5522,event,Interview
1419,5555,event,Makes Statement
1422,5558,event,Band Formed
1439,5588,event,Marriage
1444,5603,event,Birth
1447,5606,event,Interview
1450,5620,event,Overdose
1454,5633,event,Death
1455,5633,event,Death Count
1459,5636,event,Funeral
1467,5685,event,Band Formed
1481,5725,event,Interview
1487,5737,event,Music Performance
1488,5737,event,TV Appearance
1494,6197,event,Birth
1546,6643,event,Birth
1548,6703,event,Birth
1566,6789,event,Interview
1568,6790,event,Birth
1570,6798,event,Moves Country
1572,6805,event,Graduation
1574,6806,event,Graduation
1576,6815,event,Hired
1578,6818,event,Interview
1582,6827,event,Political Endorsement
1583,6827,event,Gives Talk
1585,6837,event,Divorce
1587,6840,event,Birth
1593,6866,event,Birth
1596,6881,event,Band Formed
1599,6891,event,Dropped from Label
1602,6916,event,Makes Statement
1606,6949,event,Death
1609,6965,event,Death
1633,7020,event,Political Endorsement
1634,7020,event,Makes Statement
1637,7031,event,Death
1638,7031,event,Death Count
1642,7097,event,Makes Statement
1643,7097,event,Interview
1645,7106,event,Death
1646,7106,event,Death Count
1648,7108,event,Illness
1667,7218,event,Book
1673,7233,event,Illness
1675,7234,event,Book
1678,7239,event,Illness
1689,7289,event,Birth
1701,7327,event,Arrest
1704,7336,event,Film Appearance
1707,7341,event,Film Appearance
1709,7343,event,TV Appearance
1711,7345,event,TV Appearance
1713,7347,event,Film Appearance
1716,7355,event,Film Appearance
1718,7359,event,Film Appearance
1720,7373,event,Judgement
1728,7390,event,Interview
1732,7393,event,Arrest
1737,7408,event,Interview
1739,7411,event,Interview
1744,7433,event,Interview
1748,7474,event,Announcement
1757,7538,event,Birth
1762,7560,event,TV Appearance
1765,7567,event,TV Appearance
1768,7574,event,TV Appearance
1773,7606,event,Apology
1775,7620,event,Death
1776,7620,event,Death Count
1781,7650,event,Arrest
1783,7653,event,TV Appearance
1786,7666,event,Film Appearance
1788,7670,event,Death
1790,7673,event,Death
1795,7690,event,Arrest
1809,7741,event,Romance
1819,7772,event,Announcement
1853,7884,event,Gives Talk
1857,7898,event,Interview
1860,7902,event,Gives Talk
1863,7906,event,Gives Talk
1872,7936,event,Fired
1880,7972,event,Gives Talk
1883,7976,event,Announcement
1899,8046,event,Band Formed
1908,8114,event,Makes Statement
1912,8127,event,TV Appearance
1920,8146,event,Directs
1923,8155,event,Judgement
1942,8200,event,Judgement
1946,8212,event,Birth
1961,8243,event,Nomination
1968,8308,event,Judgement
1977,8333,event,Birth
1983,8346,event,Gives Talk
1997,8390,event,Graduation
2002,8410,event,TV Appearance
2004,8413,event,TV Appearance
2011,8427,event,Announcement
2019,8458,event,Fight
2021,8467,event,Murder
2022,8479,event,Arrest
2024,8483,event,Illness
2026,8488,event,Arrest
2036,8612,event,Death
2039,8619,event,Writes Article
2045,8631,event,Writes Article
2051,8661,event,Graduation
2054,8667,event,Pregnancy
2058,8670,event,Attend Event - Photocall
2061,8682,event,Judgement
2076,8722,event,Arrest
2080,8730,event,Makes Statement
2083,8758,event,Political Endorsement
2093,8781,event,Gives Talk
2098,8824,event,Attend Event - Photocall
2104,8855,event,Judgement
2107,8859,event,Judgement
2109,8861,event,Judgement
2112,8865,event,Judgement
2117,8898,event,Illness
2119,8907,event,Film Appearance
2121,8909,event,Film Appearance
2123,8913,event,Film Appearance
2125,8915,event,Film Appearance
2128,8918,event,Film Appearance
2130,8921,event,TV Appearance
2132,8925,event,Gives Talk
2134,8928,event,Film Appearance
2136,8930,event,Political Endorsement
2139,8936,event,Interview
2141,8939,event,Gives Talk
2145,8946,event,Gives Talk
2158,9007,event,Announcement
2162,9021,event,Death
2164,9023,event,TV Appearance
2171,9032,event,Announcement
2174,9034,event,Marriage
2178,9036,event,Birth
2182,9038,event,Birth
2185,9041,event,Divorce
2188,9043,event,Marriage
2192,9048,event,Divorce
2196,9052,event,Marriage
2200,9060,event,Birth
2204,9117,event,Announcement
2208,9140,event,Band Formed
2211,9148,event,Birth
2217,9177,event,Murder
2220,9184,event,Murder
2222,9188,event,Charged
2227,9202,event,Announcement
2229,9205,event,Illness
2233,9210,event,Tony
2236,9216,event,Film Appearance
2241,9227,event,Judgement
2253,9302,event,Grammy
2255,9304,event,Grammy
2263,9317,event,Birth
2266,9320,event,Birth
2268,9322,event,Birth
2270,9326,event,Graduation
2277,9360,event,Audition
2281,9370,event,Emmy
2283,9373,event,Announcement
2308,9532,event,Film Appearance
2310,9535,event,Film Appearance
2312,9539,event,Film Appearance
2314,9543,event,TV Appearance
2316,9550,event,TV Appearance
2318,9555,event,TV Appearance
2320,9559,event,TV Appearance
2325,9584,event,Birth
2327,9585,event,TV Appearance
2329,9591,event,TV Appearance
2332,9597,event,TV Appearance
2334,9599,event,TV Appearance
2336,9601,event,TV Appearance
2338,9605,event,TV Appearance
2341,9626,event,Announcement
2349,9643,event,Arrest
2376,9794,event,Announcement
2383,9838,event,Announcement
2385,9846,event,Founding
2388,9898,event,Nomination
2400,9922,event,Donation
2402,9925,event,Book
2407,9935,event,Grammy
2413,10002,event,Casting
2415,10011,event,Illness
2420,10024,event,Announcement
2424,10055,event,Marriage
2432,10095,event,Interview
2438,10115,event,Nomination
2441,10119,event,Birth
2444,10126,event,Film Appearance
2446,10127,event,Birth
2448,10128,event,Emmy
2453,10133,event,Film Appearance
2458,10135,event,Film Appearance
2460,10136,event,Film Appearance
2462,10137,event,Birth
2464,10140,event,Birth
2466,10141,event,Birth
2468,10142,event,Birth
2470,10143,event,Birth
2472,10144,event,Birth
2474,10145,event,Birth
2476,10146,event,Birth
2478,10147,event,Birth
2480,10148,event,Birth
2482,10149,event,Birth
2484,10150,event,Birth
2486,10151,event,Marriage
2488,10152,event,Birth
2490,10155,event,Birth
2492,10156,event,Birth
2494,10157,event,Birth
2496,10159,event,Birth
2498,10160,event,Birth
2500,10161,event,Birth
2502,10162,event,Birth
2504,10163,event,Birth
2506,10164,event,Birth
2508,10165,event,Birth
2510,10166,event,Birth
2512,10167,event,Birth
2514,10183,event,Birth
2516,10185,event,Birth
2518,10187,event,Birth
2520,10189,event,Birth
2522,10191,event,Birth
2524,10193,event,Death
2526,10195,event,Death
2528,10198,event,Death
2530,10202,event,Marriage
2533,10206,event,Arrest
2535,10209,event,Marriage
2537,10211,event,Pregnancy
2539,10213,event,Birth
2542,10247,event,Graduation
2544,10250,event,TV Appearance
2546,10254,event,TV Appearance
2549,10262,event,TV Appearance
2551,10268,event,TV Appearance
2553,10273,event,Birth
2556,10277,event,Graduation
2558,10280,event,TV Appearance
2560,10284,event,Film Appearance
2562,10287,event,TV Appearance
2564,10290,event,Film Appearance
2566,10293,event,TV Appearance
2568,10298,event,Film Appearance
2570,10301,event,Film Appearance
2572,10303,event,Film Appearance
2581,10343,event,Announcement
2583,10351,event,Birth
2585,10353,event,Birth
2591,10363,event,Birth
2593,10365,event,TV Appearance
2597,10373,event,Death
2599,10375,event,Birth
2601,10378,event,Film Appearance
2603,10381,event,Film Appearance
2607,10387,event,Film Appearance
2609,10390,event,Film Appearance
2612,10395,event,Film Appearance
2614,10398,event,Announcement
2617,10404,event,Birth
2619,10407,event,Hospital
2621,10410,event,Death
2623,10412,event,Birth
2626,10420,event,Announcement
2630,10429,event,Arrest
2635,10432,event,Arrest
2636,10432,event,Judgement
2639,10440,event,Death
2640,10441,event,Death
2641,10441,event,Death Count
2643,10442,event,Death
2648,10449,event,Fundraising
2651,10450,event,Acquisition
2653,10454,event,Sentence
2655,10459,event,Birth
2659,10465,event,Makes Statement
2665,10519,event,Interview
2667,10523,event,Makes Statement
2669,10526,event,Announcement
2675,10564,event,Hospital
2682,10584,event,Announcement
2684,10585,event,Directs
2686,10587,event,Directs
2688,10588,event,Directs
2690,10590,event,Directs
2692,10591,event,Directs
2694,10592,event,TV Appearance
2696,10594,event,Directs
2698,10595,event,TV Appearance
2700,10597,event,Directs
2703,10599,event,Fired
2705,10600,event,Directs
2707,10602,event,Directs
2709,10605,event,Directs
2711,10606,event,Directs
2713,10608,event,Directs
2715,10609,event,Directs
2717,10612,event,Directs
2719,10614,event,Directs
2721,10617,event,Directs
2724,10627,event,Directs
2726,10629,event,Directs
2728,10630,event,Directs
2730,10631,event,Directs
2732,10632,event,Directs
2734,10633,event,Directs
2736,10634,event,Directs
2738,10635,event,Directs
2740,10636,event,Directs
2742,10640,event,Directs
2744,10647,event,Directs
2746,10651,event,Directs
2748,10654,event,Directs
2750,10656,event,Directs
2753,10669,event,Announcement
2755,10686,event,Other Awards
2757,10687,event,Other Awards
2759,10688,event,Other Awards
2761,10689,event,Other Awards
2764,10691,event,Other Awards
2766,10692,event,Other Awards
2768,10693,event,Other Awards
2770,10694,event,Other Awards
2772,10695,event,Birth
2774,10696,event,Other Awards
2776,10698,event,Home purchase/sale
2778,10699,event,Film Appearance
2782,10708,event,Announcement
2783,10712,event,Death
2784,10712,event,Death Count
2786,10714,event,Judgement
2788,10717,event,Death
2789,10717,event,Murder
2790,10717,event,Death Count
2795,10722,event,Death
2797,10723,event,Death
2800,10725,event,TV Appearance
2802,10726,event,Film Appearance
2804,10729,event,TV Appearance
2806,10732,event,Cameo/Guest Appearance
2808,10739,event,Film Appearance
2810,10742,event,Film Appearance
2812,10743,event,Film Appearance
2814,10745,event,Film Appearance
2816,10746,event,Film Appearance
2818,10747,event,Film Appearance
2820,10748,event,Film Appearance
2822,10749,event,Film Appearance
2824,10750,event,Film Appearance
2826,10751,event,Film Appearance
2828,10752,event,Film Appearance
2830,10753,event,Film Appearance
2832,10754,event,Film Appearance
2835,10759,event,TV Appearance
2837,10761,event,TV Appearance
2839,10762,event,Film Appearance
2841,10764,event,TV Appearance
2843,10767,event,Announcement
2846,10811,event,Film Appearance
2849,10813,event,TV Appearance
2851,10815,event,Film Appearance
2853,10817,event,Film Appearance
2855,10818,event,Film Appearance
2857,10819,event,Film Appearance
2859,10820,event,Film Appearance
2861,10821,event,Film Appearance
2863,10822,event,Film Appearance
2865,10823,event,Film Appearance
2867,10824,event,Film Appearance
2869,10825,event,Film Appearance
2871,10826,event,Film Appearance
2873,10827,event,Film Appearance
2875,10828,event,Film Appearance
2878,10830,event,Film Appearance
2880,10831,event,Film Appearance
2882,10832,event,Film Appearance
2884,10834,event,Film Appearance
2886,10836,event,Announcement
2888,10837,event,Film Appearance
2890,10839,event,Film Appearance
2892,10840,event,Film Appearance
2894,10841,event,Film Appearance
2896,10842,event,Film Appearance
2898,10843,event,Film Appearance
2900,10844,event,Film Appearance
2902,10845,event,Film Appearance
2904,10846,event,Film Appearance
2906,10847,event,Film Appearance
2908,10848,event,Film Appearance
2912,10856,event,Death
2915,10859,event,Makes Statement
2918,10862,event,Birth
2923,10865,event,Announcement
2925,10866,event,Announcement
2932,10872,event,Film Appearance
2934,10875,event,Other Awards
2936,10876,event,Film Appearance
2938,10877,event,Film Appearance
2940,10878,event,Film Appearance
2942,10879,event,Directs
2944,10880,event,Directs
2946,10881,event,Film Appearance
2948,10882,event,Film Appearance
2951,10905,event,Marriage
2954,10906,event,Marriage
2957,10907,event,Marriage
2959,10912,event,Interview
2962,10917,event,Founding
2964,10918,event,Interview
2970,10928,event,Film Appearance
2972,10932,event,Birth
2975,10938,event,Interview
2977,10939,event,Death
2979,10943,event,Judgement
2981,10948,event,Interview
2983,10991,event,Birth
2986,10998,event,Death
2988,11001,event,Birth
2990,11003,event,Film Appearance
2992,11004,event,Film Appearance
2994,11005,event,Film Appearance
2996,11006,event,Film Appearance
2998,11007,event,Directs
3000,11008,event,Film Appearance
3002,11009,event,Film Appearance
3004,11010,event,Produces
3006,11011,event,Film Appearance
3009,11014,event,Film Appearance
3011,11015,event,Film Appearance
3014,11017,event,Produces
3016,11019,event,Film Appearance
